Code,Description,Sell price exc VAT,Sell price inc VAT
CREDIT250,£250 CREDITED TO ACCOUNT,£-250.00,£-250.00
SYRINGE10,10ml Syringe,£0.27,£0.32
KENALOG,18mg Triamcinolone (40mg/ml Inj) (per 1ml vial),£17.14,£20.57
BLOODBAG,1L Blood Collection Bag,£16.25,£19.50
SYRINGE20,20ml Sterile Syringe,£0.42,£0.50
SCOPENEEDLE,21G 5mm Endoscopic Guarded Needle 2300mm (single use),£21.58,£25.90
SYRINGE30,30ml Sterile Syringe,£0.96,£1.15
SYRINGE3,3ml Sterile Syringe,£0.15,£0.18
4CYTE,4CYTE Epiitalis Oral Supplement (per 1L container),£220.55,£264.66
SYRINGEDOSING,50ml Dosing Syringe,£1.02,£1.22
SYRINGE50,50ml Sterile Syringe,£0.98,£1.18
SYRINGE5,5ml Sterile Syringe,£0.18,£0.22
TAPABDOMPERITONEAL,Abdominocentesis / Peritoneal (Belly) Tap,£74.75,£89.70
ABTHOLDING,ABT Holding Medium,£98.39,£118.07
PAYMENTADJUSTMENT,Account Prepayment / Overpayment / Correction,£0.00,£0.00
ACPTABSPECIALDISC,Acepromazine 10mg Tablet (per pot of 500 tablets) ***SPECIAL DISCOUNT***,£291.67,£350.00
ACPTABS,Acepromazine 10mg Tablets (per tablet),£0.86,£1.03
ACETYLCYSTEINE,Acetylcysteine Powder for Infusion (per 6g dose),£46.80,£56.16
SAMPLESKIN,Acquire Skin/Hair Pluck/Scrape for Lab Testing,£17.50,£21.00
ACTH,ACTH Blood Test (Rainbow Lab),£26.50,£31.80
ADCORTYL,Adcortyl (Triamcinolone 10mg/ml Inj) (per 5ml bottle),£55.68,£66.82
XRAYEXTRAPLATE,Additional XRAY View (per plate),£18.00,£21.60
DUPHALYTEIV,"Administer 1L Duphalyte IV (includes drugs, catheter and giving set)",£92.27,£110.73
PLASMABUNDLE,"Administer 1L Hyperimmune Plasma RE (including drugs, consumables and plasma)",£0.00,£0.00
EPIDURAL,Administer Epidural Anaesthesia,£81.97,£98.36
TILDREN,Administer Tildren Over 30 mins via IV Catheter in 1L Sterile Saline,£316.67,£380.00
ADRENALINEVIAL,Adrenaline 1mg/ml (1:1000) (per vial),£5.00,£6.00
IHCULTURE,Aerobic Bacterial Culture (48hrs) & Interpretation,£27.10,£32.52
AERCULTURERAINBOW,Aerobic Culture (Rainbow Lab),£28.00,£33.60
ALIZIN,Aglepristone (Alizin) 30mg/ml Injectable 10ml (per ml),£10.18,£12.22
AINTREEMILK,Aintree Foal Milk (per 5kg tub),£80.82,£96.99
ALBAROSAFROZENFIRST,Albarosa Frozen AI Package FIRST CYCLE,£515.00,£618.00
ALBAROSAFROZENSUBSEQ,Albarosa Frozen AI Package SUBSEQUENT CYCLES,£437.50,£525.00
ALBAROSACHILLEDFIRST,Albarosa Stud Chilled AI Package FIRST CYCLE,£395.00,£474.00
ALBAROSACHILLEDSUBSEQ,Albarosa Stud Chilled AI Package SUBSEQUENT CYCLE,£345.00,£414.00
ALLERGY,Allergy Testing (Rainbow Lab),£387.50,£465.00
MYCOTOXINTESTING,Alltech Mycotoxin Testing (Rossdales Lab),£218.36,£262.03
ALTRENOGEST,Altrenogest 50mg/ml Injectable (per ml) (7 day course per injection),£13.84,£16.61
REGUMATE1L,Altrenogest Oral (1L Bottle Regumate),£167.72,£201.27
REGUMATEPERML,Altrenogest Oral (Regumate) (per ml),£0.26,£0.31
ALUSPRAY,Aluspray Aluminium Topical Antiseptic Spray,£22.59,£27.11
AMIKIN,Amikin Amikacin Antibiotic (per 2ml vial),£10.40,£12.48
AMOXICLAV500,Amoxicillin Clavulanic Acid Oral Antibiotic (per 500mg tablet),£2.58,£3.10
AMOXICLAVSMALL50,Amoxicillin Clavulanic Acid Oral Antibiotic (per 50mg tablet),£0.50,£0.60
ANAERCULTURERAINBOW,Anaerobic Culture (Rainbow Lab),£19.00,£22.80
ANALGLANDS,Anal Gland Examination and Manual Expression,£24.46,£29.36
ANGIOCATH14,Angiocath 14G Short-Stay Catheter,£7.88,£9.46
ANIMALINTEX,Animalintex Foot Dressing,£5.38,£6.45
ANNCEIDCHIPDNA,"ANNCE PRE foal registration, identification, microchip and DNA sample",£103.72,£124.46
SENSITIVITY,Antimicrobial Sensitivity Testing (Rainbow Lab),£13.50,£16.20
APHAPRODUCTCERT,APHA Official Veterinarian Certificate/Attestation,£154.50,£185.40
APHAOVTIME,APHA Official Veterinarian Time (per 15 mins),£22.66,£27.19
APHAOVTRAVELTIME,APHA Official Veterinarian Travel Time (per 15 mins),£22.66,£27.19
APPPGE1PIPETTE,Application of PGE 1 to Oviducts via deep AI pipette (Includes drugs and consumables),£82.00,£98.40
BANDAGEBELLY,Apply Abdominal Bandage,£21.89,£26.27
BANDAGEHOCK,Apply Bandage to Hock,£27.29,£32.75
BANDAGEKNEE,Apply Bandage to Knee,£27.30,£32.75
BANDAGEFOOT,Apply Bandage/Dressing To Foot,£22.00,£26.40
RINGSARCOID,Apply Elastrator Ring to Sarcoid,£46.09,£55.31
POULTICE,Apply Foot Poultice,£18.03,£21.63
AQUPHARM500SALINE,Aqupharm No 1 Sterile Saline (per 500ml bag),£6.33,£7.59
AQUPHARM3H,Aqupharm Sterile Isotonic Hartmanns Solution (per 3 litre bag),£16.50,£19.80
AQUPHARM5H,Aqupharm Sterile Isotonic Hartmanns Solution (per 5 litre bag),£40.28,£48.34
AQUPHARM1H,Aqupharm Sterile Isotonic Hartmanns Solution (per litre),£15.00,£18.00
ARTHRAMID,Arthramid Intra-Articular Gel (per 1ml syringe),£277.98,£333.58
ASPIRATELN,Aspirate Sample From Lymph Node,£43.78,£52.53
ASPIRIN250,Aspirin Oral Powder 100% (per 250g tub),£40.96,£49.15
SPECULUM,Assess Vagina and Cervix via Speculum Examination,£28.33,£33.99
ATIPAZOLE,Atipazole (Atipamezole) Injectable 10ml (per ml),£10.96,£13.15
ATROPINE,Atropine Sulph 1% Minim,£4.80,£5.75
BACTIVATE,Bactivate Intrauterine Infusion,£285.00,£342.00
BANDAGELOWLIMB,Bandage Lower Limb,£22.00,£26.40
SPINALNEEDLEBD,BD Quincke 18G 3.5 Inch Spinal Needle,£4.10,£4.92
BETNOVATE100,Betnovate Cream (per 100g tube),£13.25,£15.90
BLOODBILEACIDS,Bile Acids Blood Test (Rainbow Lab),£12.00,£14.40
BILIRUBIN,Bilirubin Blood Test (Rainbow Lab),£12.00,£14.40
BIOPSYPUNCH,Biopsy Punch (per single punch),£2.50,£3.00
BITCHPROGESTERONEDISCOUNT,Bitch Progesterone Blood Test,£52.50,£63.00
BITCHBLOODSAMPLEPROGESTERONE,Bitch Progesterone Blood Test (includes blood sampling fee),£65.00,£78.00
BLOCKCARPALSHEATH,Block Carpal Sheath,£69.53,£83.43
BLOCKCOFFIN,Block Coffin Joint,£57.42,£68.91
JOINTBLOCKSTIFLE,Block Stifle Joint,£69.53,£83.43
BLOODGIVINGSET,Blood Administration Set (with filter),£7.92,£9.50
BLOODLACTATE,Blood Sample and Test Blood Lactate,£16.75,£20.10
BLOODAMH,Blood Test Anti-Mullerian Hormone (AMH) (Rainbow Lab),£51.00,£61.20
BLOODMUSCLE,Blood Test CK and AST Muscle Enzymes (Rainbow Lab),£24.00,£28.80
COPPER,Blood Test Copper,£23.00,£27.60
BLOODELECTROLYTES,Blood Test Electrolytes (Rainbow Lab),£42.00,£50.40
BLOODECG,Blood Test Equine Chorionic Gonadotrophin (eCG) (Rainbow Lab),£32.00,£38.40
BLOODGENERAL,Blood Test General Profile (Rainbow Lab),£76.00,£91.20
BLOODINFLAM,Blood Test Inflammatory Profile (Rainbow Lab),£42.50,£51.00
BLOODLAWSONIA,Blood Test Lawsonia Serology (Rainbow Lab),£34.00,£40.80
BLOODLIVER,Blood Test Liver Profile (Rainbow Lab),£70.00,£84.00
BLOODNEONAT,Blood Test Neonatal Profile (Rainbow Lab),£61.00,£73.20
BLOODPERFORM,Blood Test Performance Profile (Rainbow Lab),£44.50,£53.40
BLOODREDWORM,Blood Test Redworm ELISA (Rainbow Lab),£26.00,£31.20
BLOODTAPEWORM,Blood Test Tapeworm ELISA (Rainbow Lab),£30.00,£36.00
FROZENSEMENARRIVALS,"Booking In Fee - Account Creation, Straw Inspection & Handling, Documentation)",£75.00,£90.00
BOZMERIXPOUCH,Boz Merix 1.5 KG Pouch,£260.50,£260.50
BOZMERIX20,Boz Merix 20 x 10g Sachets,£48.50,£48.50
BRAVECTOTABXL,Bravecto Extra Large Breed Dog Tablets (per box of 1 tablet),£34.96,£41.95
BRAVTABLRGSINGLE,Bravecto Large Breed (20-40Kg) Dog Tablet (per box of 1 x 1000mg tablet),£35.99,£43.19
BRAVTABLRGDUO,Bravecto Large Breed Dog Tablets (per box of 2 X500mg  tablets),£67.51,£81.01
BRAVTABMEDDUO,Bravecto Medium Breed Dog (10-20kg) (per 2 X 500mg tablet),£63.46,£76.15
BRAVTABMEDSINGLE,Bravecto Medium Breed Dog (10-20kg) (per 500mg tablet),£32.40,£38.88
BRAVECTOTABSMALL,Bravecto Small Breed Dog (4.5-10kg) (per 250mg tablet),£24.84,£29.81
BRAVECTOTABSMALL2DOSE,Bravecto Small Breed Dog (per box of 2 tablets),£48.18,£57.82
BREATHEAZY,Breatheazy Flexineb Medication Cup (Including P&P),£81.95,£98.34
MAREBSE,"Breeding Soundness Exam (Incl Perineal Conformation Assessment, Rectal US Repro Tract, Cervical Spec",£79.83,£95.79
CONSULTBRIEF,Brief Consultation,£36.00,£43.20
BAL,Broncho-Alveolar Lavage (Lung Wash) (includes sterile fluids and consumables),£87.55,£105.06
UTERINEPROLAPSE,Broodmare Uterine Prolapse,£123.60,£148.32
BRUCELLACANISELISA,Brucella canis iELISA (APHA),£11.54,£13.84
BRUCELLACANISSAT,Brucella canis Serum Agglutination Test (SAT) (APHA),£20.91,£25.09
BUDESONIDE,Budesonide (Pulmicort) (per pack of 20 nebules),£92.42,£110.90
DISCOUNT,Bulk Discount,£0.00,£0.00
BUSCOINJ,Buscopan 20mg/ml Inj per 1ml vial,£1.95,£2.34
CALCIBEL,Calcibel 500ml Injectable,£15.36,£18.43
V3,Call-Out Fee (V3) (20-30 miles round trip),£41.25,£49.50
V4,Call-Out Fee (V4),£62.50,£75.00
VFOC,Call-Out Free Of Charge,£0.00,£0.00
CANAURAL15,Canaural Ear Drops 15ml,£17.20,£20.64
CANAURAL25,Canaural Ear Drops 25ml,£22.28,£26.74
ASSISTEDMATINGDOG,Canine Assisted Natural Mating,£62.50,£75.00
CONSULTDOG,Canine Consultation,£47.29,£56.75
CPSAEPROSTATE,Canine Prostate Specific Arginine Esterase (CPSE) (Axiom),£89.36,£107.24
TCIFROZENBUNDLE,"Canine Transcervical Frozen Insemination (incl semen handling, thawing, extending & post-thaw assess",£0.00,£0.00
VAGINALAI,Canine Vaginal Insemination,£64.38,£77.25
VAGINALCYTOLOGY,"Canine Vaginal Smear, Stain and Cytology",£62.50,£75.00
TCICHILLEDFRESHBUNDLE,Canine Video-endoscopic Transcervical Insemination (TCI),£0.00,£0.00
TCIPROCEDURE,Canine Video-endoscopic Transcervical Insemination (TCI),£212.50,£255.00
CANIPLUSAI,Caniplus AI Semen Extender (per ml),£5.76,£6.91
CANIPLUSCHILL,Caniplus Premium Chilled Semen Extender (per ml),£6.50,£7.79
CANIPLUSFREEZE,Caniplus Premium Semen Freezing Extender (per ml),£6.50,£7.79
CARDISURE5,Cardisure 5mg (Pimobendan) Flavoured Tablets (per tablet),£0.75,£0.90
CARTROPHEN,Cartrophen Injectable (per 10ml vial),£43.47,£52.16
CASTRATESMALLDOG,Castrate Small Dog,£109.18,£131.02
CASTRATE,"Castration (incl sedation, anaesthetic, peri-op pain relief + IV antibiotic)",£231.75,£278.10
DRIPSETUP,Catheterisation & Set-Up for Intravenous Fluid Therapy,£49.70,£59.64
CATHETERISEBLADDER,Catheterise Urinary Bladder,£41.20,£49.44
EXCENEL4,Ceftiofur (Excenel) 50mg/ml Inj Antibiotic (per 4g bottle) (incl 80ml sterile water for i,£115.49,£138.59
EXCENEL1,Ceftiofur (Excenel) 50mg/ml Injectable (per 1g bottle) (includes 20ml sterile water for inj),£49.04,£58.85
INFUSIONCEFTIOFUR,Ceftiofur Intrauterine Infusion (1g Excenel & 60ml Sterile Saline),£72.25,£86.70
CEMCULTURE,CEM Culture (Rainbow Lab),£28.00,£33.60
CEMPCR,CEM PCR (Rainbow Lab),£40.00,£48.00
CERTSALES,Certification For Sales (Includes Upload to Repository),£23.69,£28.43
HEALTHDOCS,Certify Health Documents & Upload to Repository,£23.69,£28.43
SCHEMECEMCULTURE,Cervical Swab for CEM Culture (Scheme),£0.00,£0.00
CHANAZINE,Chanazine (Xylazine 100mg/ml) Inj per ml,£10.00,£12.00
CHILLEDPACKAGEFIRST,Chilled AI Package FIRST CYCLE,£395.00,£474.00
CHILLEDPACKAGESUBSEQ,Chilled AI Package SUBSEQUENT CYCLE,£312.50,£375.00
CHILLEDSHIPPERPURCHASE,Chilled Shipper,£35.00,£42.00
CHILLEDSHIPPERHIRE,Chilled Shipper Hire (up to 7 days),£10.42,£12.50
CHLORAMPHENICOLEYE,Chloramphenicol 1% Eye Ointment,£11.81,£14.17
CHLORAMPHENICOLPASTE,Chloramphenicol 500mg/ml Oral Antibiotic Paste (per 250ml tub),£149.34,£179.20
HIBISCRUB5,Chlorhexidine Gluconate 4% Scrub 5L,£70.83,£85.00
CHORULONBOX,Chorulon 1500IU Injectable (per box of 5 vials),£75.16,£90.19
CHORULON,Chorulon 1500IU Injectable (per vial),£22.56,£27.07
CLARITHRIFAMP,Clarithromycin-Rifampicin (750m-/500mg/10ml) Oral Antibiotic Paste (per 500ml tub),£182.53,£219.03
DEBRIDEPROUDFLESH,Clean & Debride Granulation Tissue (Proud Flesh),£38.37,£46.04
CLEANSHEATH,Clean Preputial Sheath and Penis,£33.48,£40.17
SUTUREWOUND2,"Clean, Debride & Suture Large Wound",£115.00,£138.00
SUTUREWOUND3,"Clean, Debride & Suture Multiple Wounds",£130.00,£156.00
SUTUREWOUND1,"Clean, Debride & Suture Wound",£80.00,£96.00
WOUND,"Clean, Flush & Debride Wound",£66.67,£80.00
CLEEN,Cleen Phosphate Enema,£10.46,£12.55
CLINDABACTIN55,Clindabactin 55mg (Clindamycin) (per 55mg tablet),£1.12,£1.34
CLINISUT,Clinisut Blue Monofilament Suture,£6.25,£7.50
CASTRATECLOSED,Closed Castration Under General Anaesthetic,£309.00,£370.80
SEMENANALYSIS,"Collect & Analyse Semen (Concentration, Motility, pH, Morphology, Vitality & Report)",£229.17,£275.00
CHILLEDCOLLECTPROCESS,Collect & Process Semen for Chilled Distrubution (Incl extender & transport box hire),£162.50,£195.00
COLLECTPLASMA,Collect Blood for Plasma,£21.89,£26.27
EYESERUM,"Collect Blood, Centrifuge and Prepare Autologous Eye Serum with EDTA",£71.07,£85.28
CONFORMINGBANDAGE,Comforming Bandage (per 10cm roll),£2.54,£3.05
WEATHERBYSIDONLY,Complete Markings for Weatherby’s ID & Certify Official Documentation,£46.25,£55.50
KARYOTYPINGKENT,Copy Karyotyping (Gene Analysis) Cytoscreen Solutions,£278.10,£333.72
CW,Cotton Wool (per 500g roll),£8.96,£10.75
COURIER,Courier Fee,£0.00,£0.00
CPD,CPD Provision,£0.00,£0.00
BLOODCK,Creatine Kinase (CK) Blood Test (Rainbow Lab),£14.00,£16.80
CREATININE,Creatinine Test (Rainbow Lab),£12.00,£14.40
CREDIT,Credit,£0.00,£0.00
CUTIMEDGEL,Cutimed/Intrasite Wound Hydrogel (per 25g tube),£7.58,£9.10
CYCLOSPRAY,Cyclospray 211ml Canister,£12.25,£14.70
CYKLOKAPRON,Cyklokapron Tranexamic Acid 100mg/ml (per 50ml dose of 10 vials),£50.00,£60.00
CYSTOSCOPY,Cystoscopic Examination (Bladder Endoscopy),£159.65,£191.58
INHOUSECYTOLOGY,Cytology (Cell Analysis),£33.48,£40.17
TWBALCYTOLOGY,Cytology (Cell Analysis) from Tracheal Wash / BAL (Rainbow Lab),£30.50,£36.60
TAPCYTOLOGY,Cytology of Body Fluid Aspiration (Rainbow Lab),£35.00,£42.00
CYTOTEC,Cytotec PGE1 (Misoprostol) (per tablet),£0.82,£0.98
DANILONBOX,Danilon Equidos Gold (per box of 60 sachets),£101.62,£121.94
DANILONSACHET,Danilon Equidos Gold (per sachet),£2.38,£2.86
DANTROLENE,Dantrolene 100mg/ml Oral Paste (per 30ml syringe),£52.50,£63.00
DAXOCOX30,Daxocox 30mg tablets (per box of 4 tablets),£21.93,£26.32
DAXOCOX45,Daxocox 45mg tablets (per box of 4 tablets),£21.93,£26.32
DAXOCOX70,Daxocox 70mg tablets (per box of 4 tablets),£29.22,£35.06
DEBTRECOVERY,Debt Recovery Referral to DSL UK,£40.00,£48.00
DECTOMAX,Dectomax (1% Doramectin) Injectable (per ml),£1.14,£1.37
DECTOMAXBOTTLE50,Dectomax Injectable (per 50ml bottle),£41.46,£49.75
DEOSECTPERML,Deosect Topical Parasiticide (per ml),£0.14,£0.17
DEPOMEDRONE,Depo Medrone Injectable (per ml),£23.28,£27.93
DEPOCILLIN100,Depocillin (Procaine Penicillin 300mg/ml) Inj (per 100ml bottle),£16.64,£19.97
DEPOCILLIN,Depocillin (Procaine Penicillin 300mg/ml) Injectable (per ml),£0.28,£0.34
RINGWORMPCR,Dermatophyte (Ringworm) PCR (Rainbow Lab),£38.00,£45.60
DERMOVATE30,Dermovate Cream (per 30g tube),£12.24,£14.69
DES,Deslorelin 2.25mg/ml IM Injection (per ml),£49.75,£59.70
SUPRELORIN9,Deslorelin acetate (GnRH) (per 9.4mg injection),£178.01,£213.61
