Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
CREDIT250,£250 deposit taken prior to veterinary treatment,-250.00,-250.00
CREDIT500,£500 deposit taken prior to veterinary treatment,-500.00,-500.00
SYR10BOX,10ml Syringe (per box of 100),28.23,33.88
SYR10C,10ml Syringe (per syringe),0.28,0.34
KENVIAL,18mg Triamcinolone (40mg/ml Inj) (per 1ml vial),17.14,20.56
KENBOX,18mg Triamcinolone (40mg/ml Inj) (per box of 5 x 1ml vial),85.68,102.82
BLOODBAG,1L Blood Collection Bag,36.52,43.82
SYR20BOX,20ml Sterile Syringe (per box of 50),21.90,26.28
SYR20C,20ml Sterile Syringe (per syringe),0.44,0.53
SCOPENEED,21G 5mm Endoscopic Guarded Needle 2300mm (single use),21.58,25.90
3WT,3 Way Tap,1.00,1.20
SYR30BOX,30ml Sterile Syringe (per box of 25),25.76,30.91
SYR30C,30ml Sterile Syringe (per syringe),1.03,1.24
SYR3BOX,3ml Sterile Syringe (per box of 100),16.41,19.69
SYR3C,3ml Sterile Syringe (per syringe),0.16,0.20
4CYTE,4CYTE Epiitalis Oral Supplement (per 1L container),219.28,263.13
DSBOX,50ml Dosing Syringe (per pack of 25),31.98,38.38
DSC,50ml Dosing Syringe (per syringe),1.28,1.54
SYR50BOX,50ml Sterile Syringe (per pack of 25),26.40,31.68
SYR50C,50ml Sterile Syringe (per syringe),1.06,1.27
SYR5BOX,5ml Sterile Syringe (per pack of 100),20.61,24.73
SYR5C,5ml Sterile Syringe (per syringe),0.21,0.25
TAPABDPERI,Abdominocentesis / Peritoneal (Belly) Tap,77.74,93.29
ABT,ABT Holding Medium,98.39,118.07
PAYADJUST,Account Prepayment / Overpayment / Correction,0.00,0.00
ACETYLCYST,Acetylcysteine Powder for Infusion (per 6g dose),56.00,67.20
SAMPLESKIN,Acquire Skin/Hair Pluck/Scrape for Lab Testing,18.20,21.84
ACTH,ACTH Blood Test (Rainbow Lab),27.50,33.00
ADCORTBOT,Adcortyl (Triamcinolone 10mg/ml Inj) (per 5ml bottle),55.68,66.82
ADCORTML,Adcortyl (Triamcinolone 10mg/ml Inj) (per ml),11.14,13.36
RADXTRAPLT,Additional XRAY View (per plate),18.72,22.46
DUPHAIV,"Administer 1L Duphalyte IV (includes drugs, catheter and giving set)",95.96,115.15
PLASMABUNDLE,"Administer 1L Hyperimmune Plasma RE (including drugs, consumables and plasma)",0.00,0.00
EPIDURAL,Administer Epidural Anaesthesia,85.25,102.30
TILDREN,Administer Tildren Over 30 mins via IV Catheter in 1L Sterile Saline,329.33,395.20
ADMIN,Administration fee,6.55,7.86
ADRENBOX,Adrenaline 1mg/ml (1:1000) (per box of 10x 1ml ampoules),50.00,60.00
ADRENVIAL,Adrenaline 1ml Dose,5.00,6.00
ADVOCATE,Advocate Cat Large 4-8kg (3 pack),20.08,24.10
IHCULT,Aerobic Bacterial Culture (48hrs) & Interpretation,28.18,33.82
AEROCULTREH,Aerobic Culture (Rainbow Lab),29.50,35.40
ALIZINBOT,Aglepristone (Alizin) 30mg/ml Injectable (per 10ml bottle),106.96,128.35
ALIZINML,Aglepristone (Alizin) 30mg/ml Injectable (per ml),10.70,12.84
AINTREE,Aintree Foal Milk (per 5kg tub),63.25,63.25
ALBAROSAFRZ1ST,Albarosa Frozen AI Package FIRST CYCLE,535.83,643.00
ALBAROSAFRZSUB,Albarosa Frozen AI Package SUBSEQUENT CYCLES,455.00,546.00
ALBAROSACHILL1ST,Albarosa Stud Chilled AI Package FIRST CYCLE,410.83,493.00
ALBAROSACHILLSUB,Albarosa Stud Chilled AI Package SUBSEQUENT CYCLE,359.17,431.00
ALDARA,Aldara 5% Imiquimod cream sachets,90.30,108.36
ALFAADRENBOT,Alfacaine 2% + Adrenaline (per 100ml bottle),1.00,1.20
ALLERGY,Allergy Testing (Rainbow Lab),387.50,465.00
MYCOTOXTEST,Alltech Mycotoxin Testing (Rossdales Lab),218.36,262.03
ALTRENOBOT,Altrenogest 50mg/ml Injectable (per 21ml bottle),320.00,384.00
ALTRENOML,Altrenogest 50mg/ml Injectable (per ml),15.23,18.28
REGUMATE1L,Altrenogest Oral (per 1L Bottle Regumate),166.25,199.50
REGUMATEML,Altrenogest Oral (per ml),0.17,0.20
ALUSPRAY,Aluspray Aluminium Topical Antiseptic Spray,23.12,27.74
TSB,Amies Charcoal Transport Swab Black (per pack of 10 swabs),6.84,8.21
TSO,Amies Charcoal Transport Swab Orange (per pack of 10 swabs),5.10,6.12
AMIKINML,Amikin Amikacin Antibiotic (per 2ml dose),10.39,12.47
AMIKINBOX,Amikin Amikacin Antibiotic (per box of 5x 2ml vial),51.97,62.36
ANAEROCULTREH,Anaerobic Culture (Rainbow Lab),20.00,24.00
ANALGLANDS,Anal Gland Examination and Manual Expression,25.44,30.53
ANIMALINTBOX,Animalintex Foot Dressing (per pack of 10 rolls),99.03,118.83
ANIMALINTROLL,Animalintex Foot Dressing (per roll),9.90,11.88
ANNCEIDCHIPDNA,"ANNCE PRE foal registration, identification, microchip and DNA sample",107.87,129.44
STERIGLPOS,Ansell Sterile Surgical Gloves Gammex (size 6) (per box of 50),41.82,50.18
STERIGLRG,Ansell Sterile Surgical Gloves Gammex (size 8) (per box),41.82,50.18
SENSITIVITY,Antimicrobial Sensitivity Testing (Rainbow Lab),14.50,17.40
APHAPRODCERT,APHA Official Veterinarian Certificate/Attestation,160.68,192.82
APHAOVTIME,APHA Official Veterinarian Time (per 15 mins),23.57,28.28
APHAOVTRAVTIME,APHA Official Veterinarian Travel Time (per 15 mins),23.57,28.28
APOQUEL,Apoquel 3.6mg chew tabs (per 100 pack),98.47,118.16
PGE1,Application of PGE 1 to Oviducts via deep AI pipette (Includes drugs and consumables),85.28,102.34
BANDBELLY,Apply Abdominal Bandage,22.76,27.31
BANDHOCK,Apply Bandage to Hock,28.38,34.06
BANDKNEE,Apply Bandage to Knee,28.39,34.07
BANDFOOT,Apply Bandage/Dressing To Foot,22.88,27.46
RINGSARC,Apply Elastrator Ring to Sarcoid,47.95,57.54
POULTICE,Apply Foot Poultice,18.75,22.50
AQUPH1H,Aqupharm 1 Sterile Isotonic Hartmanns Solution (per litre),15.00,18.00
AQUPH11H,Aqupharm 11 Sterile Isotonic Hartmanns Solution (per 1 litre bag),12.48,14.98
